delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,text.started,text.stopped,textbox.text,textbox.started,textbox.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.1,1000,exp,0,0,0,3,12.92251030006446,13.934067799942568,13.900963200023398,None,space,0.8105391999706626,13.900963200023398,None,14.81635473011993,None,15.152969500049949,None,100,15.152969500049949,None,15.152969500049949,None,1,[3.059096399927512],[3.0591049999929965],035672,001,2023-10-27_11h38.35.520,Intentional Binding Task,2022.1.4,59.996136331151284,
0.7,1000,exp,0,1,1,11,18.196779399877414,19.195803799899295,19.179293500026688,None,space,1.4666381001006812,19.179293500026688,None,21.360777330072597,None,21.67905170004815,None,400,21.67905170004815,None,21.67905170004815,None,2,"[3.059096399927512, 3.140477899927646]","[3.0591049999929965, 3.1404864999931306]",035672,001,2023-10-27_11h38.35.520,Intentional Binding Task,2022.1.4,59.996136331151284,
0.1,1000,exp,0,2,2,6,24.823870700085536,25.822930099908262,25.806413100101054,None,space,0.6928489999845624,25.806413100101054,None,26.605419930024073,None,26.944093300029635,None,100,26.944093300029635,None,26.944093300029635,None,3,"[3.059096399927512, 3.140477899927646, 3.186534399865195]","[3.0591049999929965, 3.1404864999931306, 3.186542100040242]",035672,001,2023-10-27_11h38.35.520,Intentional Binding Task,2022.1.4,59.996136331151284,
0.1,1000,exp,0,3,3,9,30.135567100020126,31.13467269996181,31.11825709999539,None,space,0.4462743999902159,31.11825709999539,None,31.66724143009633,None,31.969903799938038,None,100,31.969903799938038,None,31.969903799938038,None,4,"[3.059096399927512, 3.140477899927646, 3.186534399865195, 2.690847200108692]","[3.0591049999929965, 3.1404864999931306, 3.186542100040242, 2.6908551999367774]",035672,001,2023-10-27_11h38.35.520,Intentional Binding Task,2022.1.4,59.996136331151284,
0.7,1000,exp,0,4,4,8,34.66465079993941,35.6640810999088,35.647140299901366,None,space,0.5501959999091923,35.647140299901366,None,36.895893529942256,None,37.20777019998059,None,700,37.20777019998059,None,37.20777019998059,None,5,"[3.059096399927512, 3.140477899927646, 3.186534399865195, 2.690847200108692, 2.348012699978426]","[3.0591049999929965, 3.1404864999931306, 3.186542100040242, 2.6908551999367774, 2.3480215000454336]",035672,001,2023-10-27_11h38.35.520,Intentional Binding Task,2022.1.4,59.996136331151284,
0.4,400,unexp,0,5,5,1,39.56006649998017,40.559349599992856,40.54275869997218,None,space,0.316387000028044,40.54275869997218,None,41.25866543008014,None,41.56118900002912,None,400,41.56118900002912,None,41.56118900002912,None,6,"[3.059096399927512, 3.140477899927646, 3.186534399865195, 2.690847200108692, 2.348012699978426, 3.441637699957937]","[3.0591049999929965, 3.1404864999931306, 3.186542100040242, 2.6908551999367774, 2.3480215000454336, 3.441647599916905]",035672,001,2023-10-27_11h38.35.520,Intentional Binding Task,2022.1.4,59.996136331151284,
0.4,1000,exp,0,6,6,4,45.004993400070816,46.0042039998807,45.98750749998726,None,space,0.738858399912715,45.98750749998726,None,47.1363795299083,None,47.43620719993487,None,100,47.43620719993487,None,47.43620719993487,None,7,"[3.059096399927512, 3.140477899927646, 3.186534399865195, 2.690847200108692, 2.348012699978426, 3.441637699957937, 2.794587800046429]","[3.0591049999929965, 3.1404864999931306, 3.186542100040242, 2.6908551999367774, 2.3480215000454336, 3.441647599916905, 2.794595600105822]",035672,001,2023-10-27_11h38.35.520,Intentional Binding Task,2022.1.4,59.996136331151284,
0.4,1000,exp,0,7,7,10,50.23347819992341,51.23248629993759,51.215993700083345,None,space,0.4821974001824856,51.215993700083345,None,52.09829063010402,None,52.42933800001629,None,400,52.42933800001629,None,52.42933800001629,None,8,"[3.059096399927512, 3.140477899927646, 3.186534399865195, 2.690847200108692, 2.348012699978426, 3.441637699957937, 2.794587800046429, 1.863550700014457]","[3.0591049999929965, 3.1404864999931306, 3.186542100040242, 2.6908551999367774, 2.3480215000454336, 3.441647599916905, 2.794595600105822, 1.8635587999597192]",035672,001,2023-10-27_11h38.35.520,Intentional Binding Task,2022.1.4,59.996136331151284,
0.4,1000,exp,0,8,8,7,54.29630999988876,55.29540920001455,55.27884660009295,None,space,0.41884750011377037,55.27884660009295,None,56.111224830104035,None,56.4193637999706,None,400 ,56.4193637999706,None,56.4193637999706,None,9,"[3.059096399927512, 3.140477899927646, 3.186534399865195, 2.690847200108692, 2.348012699978426, 3.441637699957937, 2.794587800046429, 1.863550700014457, 5.132225199835375]","[3.0591049999929965, 3.1404864999931306, 3.186542100040242, 2.6908551999367774, 2.3480215000454336, 3.441647599916905, 2.794595600105822, 1.8635587999597192, 5.132231799885631]",035672,001,2023-10-27_11h38.35.520,Intentional Binding Task,2022.1.4,59.996136331151284,
0.1,400,unexp,0,9,9,0,61.55623449990526,62.55526149994694,62.53882459993474,None,space,0.6192516000010073,62.53882459993474,None,63.270968429930505,None,63.57509110006504,None,700,63.57509110006504,None,63.57509110006504,None,10,"[3.059096399927512, 3.140477899927646, 3.186534399865195, 2.690847200108692, 2.348012699978426, 3.441637699957937, 2.794587800046429, 1.863550700014457, 5.132225199835375, 2.9737808001227677]","[3.0591049999929965, 3.1404864999931306, 3.186542100040242, 2.6908551999367774, 2.3480215000454336, 3.441647599916905, 2.794595600105822, 1.8635587999597192, 5.132231799885631, 2.9737895999569446]",035672,001,2023-10-27_11h38.35.520,Intentional Binding Task,2022.1.4,59.996136331151284,
0.7,1000,exp,0,10,10,5,66.5515048999805,67.55062039988115,67.53402159991674,None,space,0.6109036998823285,67.53402159991674,None,68.84909593006596,None,69.14777899999171,None,700,69.14777899999171,None,69.14777899999171,None,11,"[3.059096399927512, 3.140477899927646, 3.186534399865195, 2.690847200108692, 2.348012699978426, 3.441637699957937, 2.794587800046429, 1.863550700014457, 5.132225199835375, 2.9737808001227677, 2.561872099991888]","[3.0591049999929965, 3.1404864999931306, 3.186542100040242, 2.6908551999367774, 2.3480215000454336, 3.441647599916905, 2.794595600105822, 1.8635587999597192, 5.132231799885631, 2.9737895999569446, 2.5618789999280125]",035672,001,2023-10-27_11h38.35.520,Intentional Binding Task,2022.1.4,59.996136331151284,
